DATE (MM/DD/YYYY),HOUR-MST,Avg Global PSP (vent/cor) [W/m^2],Avg Zenith Angle [degrees],Avg Azimuth Angle [degrees],Avg Tower Dry Bulb Temp [deg C],Avg Tower RH [%],Avg Total Cloud Cover [%],Avg Avg Wind Speed @ 6ft [m/s]
1/1/2015,1,5.6811,162.0221,43.7663,-9.8063,49.5003,-1.0000,1.2809
1/1/2015,2,5.4072,155.1014,53.3493,-10.1540,54.3278,-1.0000,1.7047
1/1/2015,3,5.3616,144.8579,72.3594,-10.4862,60.9407,-1.0000,2.0232
1/1/2015,4,5.6720,133.5863,84.7450,-9.5257,59.4730,-1.0000,2.4713
1/1/2015,5,5.5364,122.0824,94.4755,-9.2808,53.8558,-1.0000,1.9065
1/1/2015,6,5.6236,110.7115,103.2422,-9.2298,55.7110,-1.0000,1.7082
1/1/2015,7,5.2807,99.7383,111.9352,-9.7462,62.0095,-1.0000,1.2613
1/1/2015,8,26.6386,89.2748,121.1623,-8.7616,59.1908,-0.7833,1.1903
1/1/2015,9,147.1082,80.0749,131.4259,-5.9352,51.1527,6.5667,1.5417
1/1/2015,10,310.5530,72.2939,143.1410,-4.0653,43.8102,3.6833,1.3887
1/1/2015,11,248.6102,66.5096,156.5152,-3.5100,34.1675,34.3000,0.5115
1/1/2015,12,300.8639,63.3159,171.3191,-3.2737,34.2453,89.9000,0.7909
1/1/2015,13,233.5707,63.1182,186.7493,-3.4746,35.9748,97.4000,1.2399
1/1/2015,14,154.0749,65.9439,201.6905,-4.0460,36.5947,97.1000,1.8522
1/1/2015,15,109.2056,71.4272,215.2744,-3.8698,35.6097,96.1667,0.5488
1/1/2015,16,54.4407,78.9877,227.2000,-4.1237,35.3268,92.7333,0.5928
1/1/2015,17,15.5940,88.0099,237.6332,-4.4559,39.1072,20.3667,0.9833
1/1/2015,18,0.2568,98.3727,246.9723,-4.9582,58.9710,-1.0000,1.4351
1/1/2015,19,0.3534,109.2751,255.7114,-5.1126,74.2677,-1.0000,0.9092
1/1/2015,20,0.3707,120.6075,264.4404,-6.3055,90.6233,-1.0000,0.2135
1/1/2015,21,1.0261,132.1072,273.9976,-6.2579,91.2283,-1.0000,0.0000
1/1/2015,22,1.9838,143.4305,285.9236,-6.4300,91.6633,-1.0000,0.1601
1/1/2015,23,1.1873,153.8687,303.7594,-6.1012,88.7400,-1.0000,0.3151
1/2/2015,0,0.7450,161.4058,335.0806,-5.8599,85.8317,-1.0000,1.3754
1/2/2015,1,1.4304,161.9718,43.3613,-4.8809,76.0365,-1.0000,1.4630
1/2/2015,2,3.6452,155.1100,53.0214,-5.0027,72.6580,-1.0000,1.4574
1/2/2015,3,5.3410,144.8918,72.1262,-5.5038,71.9703,-1.0000,1.8067
1/2/2015,4,5.4240,133.6283,84.5632,-5.4311,67.4582,-1.0000,2.0404
1/2/2015,5,5.4302,122.1245,94.3203,-5.7515,63.1312,-1.0000,2.4348
1/2/2015,6,4.3983,110.7489,103.1001,-6.2981,61.7743,-1.0000,1.7942
1/2/2015,7,4.5887,99.7670,111.7981,-6.5977,60.8760,-1.0000,1.6061
1/2/2015,8,25.9194,89.2904,121.0250,-6.0459,56.9027,-0.7833,1.7205
1/2/2015,9,184.5732,80.0744,131.2855,-3.9959,51.1603,6.0167,1.7696
1/2/2015,10,305.6664,72.2723,142.9975,-0.1878,42.8618,61.6333,0.6951
1/2/2015,11,449.0978,66.4630,156.3731,2.1653,38.6360,7.8167,0.5146
1/2/2015,12,503.9300,63.2426,171.1877,3.2459,39.4100,0.8500,0.7338
1/2/2015,13,506.5616,63.0203,186.6394,4.6876,37.1217,0.0000,0.4799
1/2/2015,14,444.3823,65.8270,201.6086,3.0972,41.4898,0.0000,1.8413
1/2/2015,15,332.0879,71.2981,215.2204,3.4038,42.1467,0.0000,1.0221
1/2/2015,16,179.6525,78.8526,227.1692,3.8352,41.5840,0.0000,0.4430
1/2/2015,17,32.7728,87.8682,237.6202,1.4995,50.4287,-0.5667,0.2145
1/2/2015,18,5.4549,98.2330,246.9727,-1.0145,57.3887,-1.0000,0.9041
1/2/2015,19,5.5516,109.1355,255.7219,-1.5546,58.0463,-1.0000,0.7280
1/2/2015,20,5.9676,120.4683,264.4584,-1.8663,59.3632,-1.0000,1.1128
1/2/2015,21,5.7986,131.9679,274.0193,-2.2089,60.5973,-1.0000,1.0660
1/2/2015,22,5.8542,143.2904,285.9383,-2.1847,58.4527,-1.0000,1.8191
1/2/2015,23,5.9762,153.7293,303.7252,-1.7597,57.8008,-1.0000,1.9209
1/3/2015,0,5.7304,161.2842,334.8658,-2.3075,56.4083,-1.0000,1.6805
1/3/2015,1,5.4887,161.9132,42.9560,-3.1628,57.9247,-1.0000,1.1993
1/3/2015,2,5.8742,155.1115,52.6837,-2.7961,55.6682,-1.0000,1.1734
1/3/2015,3,5.8256,144.9196,71.8835,-2.8670,55.0915,-1.0000,1.2411
1/3/2015,4,6.7842,133.6647,84.3735,-0.7110,46.3557,-1.0000,1.5947
1/3/2015,5,6.8137,122.1612,94.1584,1.3396,39.1365,-1.0000,2.6597
1/3/2015,6,6.8424,110.7807,102.9521,1.7739,39.7677,-1.0000,3.4343
1/3/2015,7,6.5418,99.7900,111.6558,2.3855,40.2398,-1.0000,4.1369
1/3/2015,8,35.7843,89.3087,120.8832,2.6594,40.1965,0.8333,3.0398
1/3/2015,9,120.5699,80.0675,131.1413,3.4903,39.5668,69.0833,0.8229
1/3/2015,10,128.5465,72.2438,142.8512,1.8232,47.2847,83.7333,0.9783
1/3/2015,11,120.8065,66.4091,156.2295,0.6348,51.2970,96.6167,1.0065
1/3/2015,12,144.5854,63.1618,171.0564,0.9212,50.1620,97.9667,3.2635
1/3/2015,13,232.6885,62.9151,186.5314,-2.0134,72.8713,98.6667,2.5829
1/3/2015,14,206.2432,65.7034,201.5303,-2.2791,81.4430,96.4833,1.3944
1/3/2015,15,50.0554,71.1632,215.1712,-3.8755,90.6717,94.5667,3.1435
1/3/2015,16,34.0236,78.7123,227.1441,-7.8054,91.5633,84.8333,3.6303
1/3/2015,17,19.0894,87.7223,237.6133,-9.8400,89.4233,13.4167,2.6538
1/3/2015,18,0.2003,98.0894,246.9797,-10.4225,89.6017,-1.0000,1.2706
1/3/2015,19,-0.2532,108.9926,255.7396,-11.1922,88.7750,-1.0000,2.0881
1/3/2015,20,0.1027,120.3259,264.4843,-11.9833,88.0883,-1.0000,1.8596
1/3/2015,21,0.3869,131.8255,274.0502,-12.5715,86.9717,-1.0000,1.2681
1/3/2015,22,0.8818,143.1469,285.9642,-13.0597,86.6883,-1.0000,1.9617
1/3/2015,23,1.0143,153.5853,303.7051,-14.0878,85.6950,-1.0000,1.9851
1/4/2015,0,1.3528,161.1559,334.6653,-14.5457,84.4633,-1.0000,1.5026
1/4/2015,1,3.8368,161.8463,48.5513,-15.1273,83.7033,-1.0000,0.6189
1/4/2015,2,4.3312,155.1057,52.3369,-15.8293,85.4217,-1.0000,0.4675
